house_quality,year_remodelled,basement_total_area,first_floor_area,above_ground_area,bathroom_above_ground_full_num,garage_finish_quality,garage_size_num_cars,sale_price,age_built,age_remodelled,more_than_2_above_bathrooms,is_good_kitchen_quality,is_good_exterior_build_quality,is_good_house_quality,foundation_type_PConc,comp_score
6,2005,725.0,725,1479,2,2,2.0,130500,34,5,1,1,1,1,0,15.0
7,1997,913.0,913,2122,2,2,2.0,220000,13,12,1,1,1,1,1,14.0
5,2007,1057.0,1057,1057,1,1,1.0,109000,57,3,0,1,0,0,0,11.0
5,2007,384.0,744,1444,2,3,2.0,174000,4,3,1,0,0,0,1,12.0
6,1993,676.0,831,1445,2,1,2.0,138500,110,17,1,0,0,1,1,12.0
6,2002,1517.0,1888,1888,2,3,2.0,190000,44,8,1,1,1,1,0,14.0
6,2006,547.0,1072,1072,2,3,2.0,140000,1,0,1,0,0,1,1,13.0
5,1959,1188.0,1188,1188,1,2,2.0,142000,51,51,0,0,0,0,0,9.0
5,1952,924.0,924,924,1,1,1.0,112500,55,55,0,0,0,0,0,10.0
5,1969,1040.0,1040,2080,1,1,2.0,135000,38,38,0,0,0,0,1,10.0
6,1971,483.0,483,987,1,1,1.0,85400,37,37,0,0,0,1,0,12.0
7,2005,1208.0,1208,1208,2,2,2.0,183600,1,1,1,1,1,1,1,14.0
5,2007,0.0,1288,2016,1,1,2.0,131000,129,2,0,0,1,0,1,13.0
8,2000,960.0,962,1607,2,1,2.0,200000,9,8,1,1,1,1,1,15.0
7,2007,1351.0,1361,1361,2,2,2.0,193000,1,1,1,1,1,1,1,15.0
5,2005,1430.0,1430,1430,2,2,2.0,173500,6,5,1,1,0,0,1,12.0
5,1950,624.0,624,1344,1,1,3.0,98000,92,58,0,0,0,0,0,10.0
5,1963,1121.0,1121,1121,1,1,2.0,139000,46,46,0,0,0,0,1,11.0
6,1977,660.0,1285,1285,1,2,2.0,143500,30,30,0,0,0,1,0,12.0
7,2009,756.0,764,1547,2,1,2.0,215200,1,1,1,1,0,1,1,15.0
5,1968,894.0,894,894,1,3,2.0,129000,39,39,0,0,0,0,0,11.0
8,2000,1501.0,1659,1659,2,3,2.0,278000,9,9,1,1,1,1,1,14.0
6,2007,1168.0,1187,1187,2,3,2.0,185000,18,3,1,0,0,1,1,12.0
5,1955,1056.0,1056,1056,1,3,2.0,145000,51,51,0,0,0,0,0,10.0
6,1961,1453.0,1453,1453,2,2,2.0,187500,48,48,1,0,0,1,0,13.0
5,2009,894.0,894,894,1,1,1.0,138500,45,1,0,0,0,0,0,11.0
5,1995,942.0,1265,1938,2,1,1.0,198000,71,13,1,1,0,0,0,13.0
5,2006,672.0,672,924,1,1,2.0,122900,58,1,0,0,0,0,0,12.0
8,1981,2524.0,2524,2524,2,3,2.0,278000,28,28,1,1,1,1,1,14.0
